,,Ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Location,28.6.2018,29.6.2019,July 2nd,July 5th,July 10th,July 18th,July 20th,July 24th,July 27th,July 30th,July 31th,August 3rd,August 7th,August 23th,August 27th,September 3rd,September 24th,September 28th,October 5th,October 9th,October 23th,November 7th,November 20th,November 27th,January 2nd,January 30th,Februrary 25th,April 6th,April 8th,April 11th,April 14th,April 29th,May 1st,May 8th,May 14th,June 5th,June 29th,August 20th,September 16th,October 22th,December 31th,February 18th,April 1st,April 13th,May 13th,July 13th,October 8th,December 8th,"January 13th, 2021","January 20th, 2021","February, 16th, 2021","April 29, 2021","July 9, 2021","October 27, 2021","January 28, 2022","April 8, 2022","May 2, 2022","July 15, 2022","October 3, 2022","January 18, 2022","May 12, 2023","May 12, 2023","Sep 1, 2023","Oct 13, 2023","Feb 13, 2024","March 12, 2024","May 20, 2024",Live Ranks,Query URL
serpapi,United States,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=serpapi&engine=google&location=United States&num=100
serpapi,Canada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=serpapi&engine=google&location=Canada&num=100
serpapi,France,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Invalid API key. Your API key should be here: https://serpapi.com/manage-api-key,1,1,1,1,1,1,1,1,1,Loading...,q=serpapi&engine=google&location=France&num=100
serpapi,United Kingdom,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=serpapi&engine=google&location=United Kingdom&num=100
serpapi,Germany,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=serpapi&engine=google&location=Germany&num=100
serp api,United States,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=serp api&engine=google&location=United States&num=100
serp api,Canada,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=serp api&engine=google&location=Canada&num=100
serp api,France,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=serp api&engine=google&location=France&num=100
serp api,United Kingdom,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=serp api&engine=google&location=United Kingdom&num=100
